Company Name,Instagram Handle,City/Area,Category,Primary Contact(s),Notes
"Mi Loja","@mi_loja_","Maputo (Alta-Mae)","Fashion & Apparel","Tel/WhatsApp: +258 877040235 / +258 876363216","Instagram bio lists Maputo location, phone ordering, and no external site link"
"Mi Loja, Tu Loja","@miloja__tuloja","Maputo","Fashion Boutique","Info line: +258 84 538 2237","Bio highlights WhatsApp ordering only; no website referenced"
"Produtos Mozambique","@produtos_mozambique","Maputo (online delivery)","Home goods e-commerce","WhatsApp: +258 84 757 0228","Bio describes an online-only shop with WhatsApp ordering; no site listed"
"Vintage Mozambique","@vintagemozambique","Maputo","Vintage/Occasionwear","WhatsApp: +258 84 572 0438","Bio says clothing rentals/sales via WhatsApp only"
"Lovisa Moçambique","@lovisa.mozambique","Maputo","Jewelry & Accessories","WhatsApp: +258 84 473 4726","Online-only jewellery drops promoted via WhatsApp; no domain mentioned"
"Moda em Moçambique","@moda_em_mocambique","Maputo (citywide delivery)","Apparel & footwear","Call center: +258 85 537 1861","Bio advertises free Maputo delivery + WhatsApp hotline; no site"
"High Quality MZ","@high_quality__mz","Maputo","Household & lifestyle goods","WhatsApp: +258 87 544 2844","Bio: “Artigos de alta qualidade… pedidos pelo WhatsApp”; no site"
"Store Online Maputo","@store_online_mz","Maputo","Mobile devices & accessories","CTT/WhatsApp: +258 87 329 3879","Bio emphasises phone/WhatsApp orders; no external link"
"Kids'R'Us Beira","@kidsrus.beira","Beira","Children’s products","WhatsApp: +258 84 123 1212","Bio lists Beira address + WhatsApp ordering; no web store"
"P'M Cosméticos da Inuka","@pm_cosmeticosss","Matola","Beauty & cosmetics","WhatsApp: +258 86 085 1946","Matola-based cosmetics seller with WhatsApp/physical pickup only"
"Family Fun Health Club & Spa","@ffhcmoz_gym","Maputo","Fitness & wellness","Phone: +258 84 967 5563","Bio provides Maputo address + phone, no website"
"The House of Agness","@thehouseofagness","Maputo & Matola","Floral studio & gifting","WhatsApp: +258 84 444 0686","Bio highlights delivery hours and WhatsApp orders only"
"Djambu Restaurante e Bar","@djambu.maputo","Maputo","Restaurant & bar","Bookings: +258 84 123 4232","Bio lists bookings line; no site shown"
"Zara Boutique MZ","@zaraboutique.mz","Maputo","Fashion boutique","WhatsApp: +258 84 816 0160","Bio details Maputo Shopping Center location + WhatsApp"
"Tree House Maputo","@treehouse_maputo","Maputo","Restaurant / lounge","Reservations: +258 84 109 9368","Bio advertises lounge + reservations by phone, no site"
"Cello Premium Cocktail","@cello_premium_cocktail","Maputo","Event beverage catering","Bookings: +258 84 538 1075","Bio promotes cocktail services with WhatsApp only"
"Redox Tattoo Studio Maputo","@redoxtattoostudiomaputo","Maputo","Tattoo & piercing studio","WhatsApp: +258 84 551 4948","Instagram reel lists booking number; no site"
"Cheers Maputo","@cheers_maputo","Maputo (Magoanine)","Restaurant & nightlife","Reservations: +258 84 076 5558","Bio highlights location + contact; no website"
"Le Chic Piccadilly","@le.chic.piccadilly","Maputo","Footwear & accessories","WhatsApp: +258 84 514 2444","Bio emphasises WhatsApp ordering; no site"
"Lia Spa Estética","@liaspa.estetica","Matola","Spa & aesthetics","Bookings: +258 85 730 9064","Posts advertise Matola location + WhatsApp bookings only"}
